Status,Tanggal_YMD,Aceh,Bali,Banten,Babel,Bengkulu,DIY,Jakarta,Jambi,Jabar,Jateng,Jatim,Kalbar,Kaltim,Kalteng,Kalsel,Kaltara,Kep Riau,NTB,Sumsel,Sumbar,Sulut,Sumut,Sultra,Sulsel,Sulteng,Lampung,Riau,Malut,Maluku,Papbar,Papua,Sulbar,NTT,Gorontalo
Terkonfirmasi,2020-05-21,,3,54,1,2,6,65,,86,25,502,1,2,13,10,2,,17,28,8,28,23,,34,2,16,1,1,11,4,1,8,3,16
Sembuh,2020-05-21,,4,9,,2,8,129,,10,2,16,4,11,10,,,,4,1,7,,,,31,11,2,,,1,1,,,,
Meninggal,2020-05-21,,,3,,,,9,,,,13,,,,2,,,,2,,3,1,,3,,,,,,,,,,
Terkonfirmasi,2020-05-22,1,6,15,,,5,99,2,40,17,131,7,5,36,15,1,1,54,19,2,18,12,9,71,,4,1,2,22,9,27,,,3
Sembuh,2020-05-22,,4,1,2,6,12,52,4,10,,10,2,6,15,1,6,,3,17,5,,28,5,19,,3,3,,,4,,1,,
Meninggal,2020-05-22,,,1,,,,18,,1,,15,,,4,3,,,,1,,1,1,,2,,1,,,,,,,,
Terkonfirmasi,2020-05-23,,8,,3,,5,115,,43,54,466,28,3,2,18,,9,10,32,5,3,9,4,59,3,,1,,,10,57,,,2
Sembuh,2020-05-23,2,3,,,,4,54,,39,,13,,3,,,,3,7,5,18,1,,21,6,,2,,,,8,,1,,2
Meninggal,2020-05-23,,,,,,,1,,2,,15,,,,1,,,1,1,1,2,,,,,,,,,1,,,,
Terkonfirmasi,2020-05-24,,6,21,,,1,119,4,46,21,68,,2,16,9,1,4,4,11,35,29,17,,32,,4,1,1,2,1,62,,,9
Sembuh,2020-05-24,,6,4,1,,1,22,5,8,4,39,,,,,2,1,,2,5,2,6,,33,9,2,,,,,,,,1
Meninggal,2020-05-24,,,,,,,,,1,,12,,,,1,,,,2,,1,1,,2,,,,1,,,,,,
Terkonfirmasi,2020-05-25,,2,,,,,75,2,22,2,223,7,,2,3,,,,76,,9,4,,23,,7,,7,1,,11,,3,
Sembuh,2020-05-25,,2,,,,2,69,2,,1,24,5,12,21,3,8,1,31,10,6,,5,,6,,2,,2,5,3,20,,,
Meninggal,2020-05-25,,,,,,,,,,,9,,,2,2,,,,,,3,,,3,,,,,,,,,,
Terkonfirmasi,2020-05-26,,11,18,,,,89,,17,4,57,1,1,12,28,,,10,56,35,26,,,33,,,,11,,2,,1,3,
